env,lat,lon,start,end,alt,yield,cou
Savalou_UAC_21_1,7.165,1.967,2021-07-23,2021-12-19,169,816.9074074,BEN
Shamva_CBI_19_2,-17.069167,31.1108,2020-01-08,2020-06-05,962,1504.297,ZWE
Bugesera_RAB_18_2,-2.204722,30.241388,2018-10-23,2019-03-22,0,2055.331818,RWA
Domasi_DAR_20_1,-15.220167,35.492017,2020-06-19,2020-11-16,648,3186.346939,MWI
Lusaka_SCL_22_2,-15.40554824,28.0785796,2022-12-05,2023-05-04,1300,2758.710222,ZMB
Gwebi_CBI_21_2,-17.48,30.32,2021-12-16,2022-05-16,1438,4575,ZWE
Kayonza_OAF_20_2,-1.88735,30.51628685,2020-10-05,2021-03-05,1570,964.376,RWA
Kerou_UAC_21_1,10.15,2.109,2021-07-20,2021-12-18,365,594.4490741,BEN
Mpongwe_SCL_20_2,-13.558888,28.155,2020-12-12,2021-05-12,1195,3077.964118,ZMB
Chipata_GNA_18_1,-13.67235,32.658783,2018-07-25,2018-12-24,1100,2926.20125,MWI
Domasi_DAR_19_1,-15.22135,35.4907167,2019-07-15,2019-12-15,609,1675.405405,MWI
Foumbot_IRA_18_2,5.8,10.933333,2018-10-06,2019-03-08,1050,1766.178943,CMR
Gurue_IIT_20_2,-15.3504,36.78903,2020-12-11,2021-05-13,766,2900.834683,MOZ
Mutare_SCL_18_2,-18.894056,32.605889,2018-12-13,2019-05-15,1117,2961.765111,ZWE
Goromonzi_SCL_19_2,-17.650119,31.235619,2019-12-16,2020-05-18,1341,3496.906444,ZWE
Lusaka_SCL_21_2,-15.40313592,28.08190059,2021-12-30,2022-06-02,1300,2409.075833,ZMB
Stapleford_SCL_18_2,-17.733331,30.883328,2018-11-30,2019-05-03,1448,3513.516889,ZWE
Jimma_JEI_19_1,7.766667,36,2019-06-28,2019-11-30,1750,2265.847333,ETH
Dowa_PYX_22_1,-13.40262,33.62907,2022-06-29,2022-12-03,1117,2920.654,MWI
Kasungu_PYX_22_1,-12.93778,33.464109,2022-06-30,2022-12-04,1110,1525.524,MWI
Kadoma_CBI_21_2,-18.33,29.88,2021-12-17,2022-05-24,1142,1935.976111,ZWE
Chisumbanje_CBI_18_2,-20.47,32.14,2018-12-09,2019-05-17,421,1420.126552,ZWE
Domasi_DAR_21_1,-15.222333,35.495617,2021-06-30,2021-12-06,639,2061.393839,MWI
Bako_PEI_20_1,9.1,37.15,2020-06-25,2020-12-03,1238,2712.984111,ETH
Goromonzi_SCL_18_2,-17.650119,31.235619,2018-11-28,2019-05-08,1341,2924.525444,ZWE
Goromonzi_SCL_22_2,-17.66,31.24,2022-11-11,2023-04-21,1341,3377.421889,ZWE
Bungoma_SFS_19_1,0.5954385,34.4720126,2019-08-01,2020-01-10,1516,2673.333333,KEN
Harare_CBI_19_2,-17.48,31.03,2019-12-16,2020-05-26,1504,1092.873444,ZWE
Bvumbwe_DAR_18_2,-15.921967,35.072683,2018-12-13,2019-05-25,1178,2257.866667,MWI
Mannheim_MAW_21_2,-19.1599999,17.76,2021-10-23,2022-04-05,1222,3236.980531,NAM
Phoenix_PHX_18_2,-18.9547003,33.2672173,2018-12-31,2019-06-13,650,996.9464773,MOZ
Mutare_SCL_21_2,-18.8968,32.6013,2021-11-25,2022-05-10,1200,2444.599556,ZWE
Mazowe_TCK_22_2,-17.69,30.95,2023-02-09,2023-07-26,1280,1003.258333,ZWE
Kadoma_CBI_18_2,-18.19,29.52,2018-12-12,2019-05-29,1142,1728.804828,ZWE
Shamva_CBI_18_2,-17.16,31.37,2018-11-30,2019-05-17,962,1512.941556,ZWE
Chibombo_ZAM_21_2,-15.289173,28.296074,2021-12-19,2022-06-06,1190,3390.530756,ZMB
Harare_CBI_20_2,-17.809084,31.05556,2020-12-03,2021-05-21,1504,3203.101389,ZWE
Dedza_DAR_21_1,-14.272017,34.559217,2021-06-24,2021-12-13,517,2738.3235,MWI
Harare_CBI_18_2,-17.48,31.03,2018-11-26,2019-05-17,1504,2296.405444,ZWE
Shamva_CBI_19_1,-17.069167,31.1108,2019-07-30,2020-01-20,962,2156.495114,ZWE
Dowa_PYX_22_2,-13.405556,33.984,2022-12-21,2023-06-16,1107.506787,2366.583394,MWI
Harare_CBI_21_2,-17.26,30.54,2021-11-30,2022-05-26,1229,3828.055111,ZWE
Harare_KKR_21_2,-17.70097,31.06182,2021-11-29,2022-05-26,1480,3744.611444,ZWE
Chisumbanje_CBI_19_1,-21.05305556,32.23472222,2019-08-08,2020-02-03,421,1768.805667,ZWE
Harare_SCL_18_2,-17.716667,31.083333,2018-11-20,2019-05-20,1480,2121.567222,ZWE
Ngwerere_IIT_21_2,-15.30161465,28.305154,2021-11-26,2022-05-26,1190,1818.453504,ZMB
Chipata_GNA_19_1,-13.672419,32.659607,2019-06-28,2019-12-27,1158,2616.718644,MWI
Mpale_DAR_20_1,-13.403067,33.627167,2020-06-08,2020-12-07,1119,3587.714762,MWI
Assosa_PEI_20_1,10.05,34.983333,2020-07-28,2021-01-28,1275,1456.265,ETH
Chilanga_PYX_20_1,-12.9376,33.4631,2020-06-23,2020-12-27,1015,2246.357619,MWI
